Employee_ID,Department,Age,Salary,Date_Joined,Attrition,Performance_Score
EMP-001,HR,33,53000.0,2018-01-01 00:00:00.000000,No,3.5
EMP-002,Finance,48,61000.0,2018-01-09 19:05:03.614457,No,4.0
EMP-003,HR,35,89000.0,2018-01-18 14:10:07.228915,No,2.2
EMP-004,Engineering,26,56000.0,2018-01-27 09:15:10.843373,No,3.9
EMP-005,Marketing,36,59000.0,2018-02-05 04:20:14.457831,No,2.6
EMP-006,HR,30,71000.0,2018-02-13 23:25:18.072289,No,3.4
EMP-007,Marketing,27,71000.0,2018-02-22 18:30:21.686746,No,3.0
EMP-008,Engineering,36,73000.0,2018-03-03 13:35:25.301204,No,3.5
EMP-009,Engineering,43,73000.0,2018-03-12 08:40:28.915662,No,3.6
EMP-010,Sales,45,61000.0,2018-03-21 03:45:32.530120,No,3.3
EMP-011,Engineering,22,51000.0,2018-03-29 22:50:36.144578,Yes,3.5
EMP-012,Engineering,40,63000.0,2018-04-07 17:55:39.759036,No,3.0
EMP-013,Sales,31,103000.0,2018-04-16 13:00:43.373493,No,2.9
EMP-014,Sales,45,79000.0,2018-04-25 08:05:46.987951,No,3.0
EMP-015,Engineering,24,47000.0,2018-05-04 03:10:50.602409,No,2.1
EMP-016,Marketing,34,86000.0,2018-05-12 22:15:54.216867,No,4.0
EMP-017,Finance,42,122000.0,2018-05-21 17:20:57.831325,Yes,2.6
EMP-018,Sales,31,104000.0,2018-05-30 12:26:01.445783,No,3.4
EMP-019,Sales,32,52000.0,2018-06-08 07:31:05.060240,No,3.6
EMP-020,Finance,24,97000.0,2018-06-17 02:36:08.674698,No,2.9
EMP-021,Engineering,34,80000.0,2018-06-25 21:41:12.289156,No,4.1
EMP-022,Marketing,27,94000.0,2018-07-04 16:46:15.903614,No,4.0
EMP-023,HR,22,71000.0,2018-07-13 11:51:19.518072,No,3.4
EMP-024,Finance,35,59000.0,2018-07-22 06:56:23.132530,No,2.6
EMP-025,HR,33,74000.0,2018-07-31 02:01:26.746987,No,3.8
EMP-026,Finance,32,92000.0,2018-08-08 21:06:30.361445,No,3.9
EMP-027,Sales,34,71000.0,2018-08-17 16:11:33.975903,No,2.6
EMP-028,Sales,34,44000.0,2018-08-26 11:16:37.590361,Yes,3.7
EMP-029,Engineering,35,61000.0,2018-09-04 06:21:41.204819,No,4.7
EMP-030,Marketing,38,76000.0,2018-09-13 01:26:44.819277,No,2.9
EMP-031,Finance,37,62000.0,2018-09-21 20:31:48.433734,Yes,3.2
EMP-032,Finance,34,78000.0,2018-09-30 15:36:52.048192,No,3.4
EMP-033,Finance,28,40000.0,2018-10-09 10:41:55.662650,No,4.8
EMP-034,Engineering,33,84000.0,2018-10-18 05:46:59.277108,Yes,4.0
EMP-035,Marketing,39,85000.0,2018-10-27 00:52:02.891566,No,2.9
EMP-036,HR,34,45000.0,2018-11-04 19:57:06.506024,No,3.9
EMP-037,Engineering,43,91000.0,2018-11-13 15:02:10.120481,No,2.7
